epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,38.9773,1.21644,3.64038,1.34449,0.00077,0.22414,0.04615,0.01763,2.55822,5.05987,1.76778,0.09406,6e-05,6e-05
2,73.527,1.0838,2.52892,1.01098,0.00077,0.22414,0.02996,0.00837,3.41469,5.10162,2.85054,0.08713,0.000129968,0.000129968
3,112.786,1.12511,1.80933,0.99373,0.00125,0.36207,0.07244,0.0438,2.93378,4.23546,2.52795,0.0801998,0.000199805,0.000199805
4,157.416,0.98119,1.3638,0.91756,0.00109,0.18966,0.1075,0.08123,2.41134,3.99193,1.96382,0.0732694,0.000269407,0.000269407
5,221.992,1.02197,1.27695,0.95329,0.0021,0.36207,0.33319,0.20257,1.6323,3.72387,1.29059,0.0663387,0.000338673,0.000338673
6,298.895,1.10097,1.11828,0.94257,0.00272,0.46552,0.40534,0.30301,1.31593,3.5239,0.99104,0.0594075,0.000407501,0.000407501
7,375.807,0.95259,0.92792,0.90957,0.5,0.2037,0.4803,0.33903,1.23379,3.19018,1.01456,0.0524758,0.000475791,0.000475791
8,453.37,0.91815,0.90038,0.91654,0.5,0.30026,0.47896,0.33728,1.18814,2.98842,0.99206,0.0455434,0.000543443,0.000543443
9,509.852,0.92502,0.90179,0.9215,0.5,0.30153,0.48226,0.38989,1.07781,2.8694,0.90129,0.0386104,0.000610358,0.000610358
10,585.778,0.90943,0.81512,0.90686,0.5,0.34464,0.48985,0.39416,0.9862,2.70532,0.89543,0.0316764,0.000676438,0.000676438
11,655.384,0.90941,0.84192,0.89952,0.47905,0.39435,0.47548,0.39665,0.98981,2.48697,0.8683,0.0247416,0.000741587,0.000741587
12,700.8,0.94092,0.80022,0.92488,0.98223,0.46552,0.84322,0.56061,1.15453,1.98668,0.8859,0.0178057,0.000805711,0.000805711
13,738.109,0.942,0.80885,0.92808,1,0.47805,0.85843,0.54235,1.19181,1.96282,0.89443,0.0108687,0.000868715,0.000868715
14,770.229,0.89902,0.79901,0.93946,1,0.46468,0.75361,0.55854,0.98743,1.73825,0.88028,0.00393051,0.00093051,0.00093051
15,803.071,0.90042,0.75889,0.92964,0.99852,0.48276,0.75188,0.54691,0.932,1.42156,0.89908,0.000952889,0.000952889,0.000952889
16,835.8,0.92781,0.8176,0.92439,0.99698,0.48276,0.78122,0.57773,0.92343,1.23903,0.86784,0.000946048,0.000946048,0.000946048
17,868.836,0.91034,0.77112,0.92402,0.99592,0.48276,0.74883,0.53873,0.96781,1.11179,0.85807,0.000938772,0.000938772,0.000938772
18,900.626,0.90981,0.79455,0.91719,0.64871,0.78522,0.85955,0.55471,1.026,1.03585,0.86511,0.000931067,0.000931067,0.000931067
19,935.345,0.86271,0.72354,0.89818,0.85909,0.76054,0.9077,0.63467,0.91366,0.87855,0.84262,0.000922942,0.000922942,0.000922942
20,975.744,0.86258,0.67519,0.90715,0.78072,0.83323,0.89103,0.60178,0.89993,0.76447,0.82079,0.000914405,0.000914405,0.000914405
21,1014.48,0.89172,0.72055,0.90488,0.8308,0.82968,0.90918,0.59914,0.89421,0.7601,0.82201,0.000905463,0.000905463,0.000905463
