epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.44328,4.14819,6.34929,4.33769,2.83532,0,0,0,0,0,0,0,0,4.02638,15.0528,3.98856,2.8803,0.09307,7e-05,7e-05
2,10.2373,2.79722,4.19763,3.38794,1.7041,0.00454,0.22685,0.07455,0.01416,0,0,0,0,3.60001,22.6688,3.07601,2.55102,0.08515,0.000149963,0.000149963
3,14.8208,2.43431,3.06199,2.29425,1.36384,0.00417,0.20833,0.07068,0.01324,0,0,0,0,3.72502,25.9583,3.84201,2.58126,0.0772298,0.000229775,0.000229775
4,19.2681,2.219,2.81169,2.02008,1.2509,0.00472,0.23611,0.02222,0.00531,0,0,0,0,3.56921,9.52939,3.57717,2.38701,0.0693093,0.000309319,0.000309319
5,23.748,2.08712,2.62242,1.78462,1.20779,0.06023,0.32011,0.05594,0.01245,0.13433,0.16071,0.1327,0.07186,2.89951,5.00375,3.21612,1.92685,0.0613885,0.000388478,0.000388478
6,28.3587,2.03388,2.67805,1.65677,1.17321,0.07396,0.45188,0.15865,0.04188,0.08315,0.16518,0.09869,0.04866,2.72262,5.95131,2.97637,1.65154,0.0534671,0.000467136,0.000467136
7,32.7747,1.92436,2.59465,1.46812,1.14066,0.08276,0.49603,0.16702,0.03935,0.07434,0.1875,0.1112,0.05509,2.60737,5.22328,3.03556,1.6548,0.0455452,0.000545178,0.000545178
8,37.0844,1.87387,2.52681,1.41854,1.1557,0.15122,0.46511,0.17357,0.04042,0.18455,0.19196,0.18978,0.10733,2.66939,3.86843,3.00406,1.56567,0.0376225,0.00062249,0.00062249
9,41.4541,2.01602,2.64546,1.42289,1.12825,0.15824,0.48247,0.33289,0.12295,0.14179,0.16964,0.14847,0.08503,2.19205,3.62896,2.66523,1.28646,0.029699,0.000698959,0.000698959
10,45.8069,1.96489,2.47805,1.3632,1.15449,0.40586,0.29167,0.28446,0.10664,0.18014,0.18899,0.17136,0.10167,2.32223,3.32653,2.5385,1.31661,0.0217745,0.000774473,0.000774473
11,50.4347,2.13668,2.61064,1.34674,1.16233,0.47947,0.58747,0.49479,0.22174,0.38659,0.26835,0.31915,0.14485,2.21017,2.51269,2.46338,1.24506,0.0138489,0.000848922,0.000848922
12,55.5888,1.89702,2.48024,1.29646,1.13068,0.336,0.86045,0.69759,0.30198,0.31353,0.5248,0.43107,0.21975,1.9248,2.29267,2.05168,1.20556,0.0059222,0.000922199,0.000922199
13,60.7738,1.77702,2.21956,1.22556,1.11219,0.19097,0.85119,0.67721,0.2698,0.19192,0.55853,0.46739,0.2688,2.09848,2.08934,1.94359,1.17572,0.000965239,0.000965239,0.000965239
14,65.3304,1.66842,2.31225,1.17954,1.07793,0.18177,0.88426,0.68967,0.29577,0.14763,0.47321,0.34608,0.21285,1.8217,1.93542,2.005,1.29718,0.000959289,0.000959289,0.000959289
15,69.8525,1.66677,2.35586,1.18909,1.08525,0.16362,0.90146,0.71502,0.35079,0.15965,0.59226,0.4746,0.24132,1.80016,1.86569,1.79317,1.22435,0.000952889,0.000952889,0.000952889
16,74.2115,1.77377,2.40483,1.24303,1.08984,0.20242,0.88806,0.71301,0.37608,0.16263,0.47421,0.29372,0.15379,1.66116,1.8819,1.75803,1.18195,0.000946048,0.000946048,0.000946048
17,78.7699,1.72673,2.34573,1.18447,1.09192,0.49562,0.85747,0.74321,0.37143,0.15315,0.53472,0.40925,0.2205,1.82071,1.81831,1.62318,1.20208,0.000938772,0.000938772,0.000938772
18,83.1657,1.73544,2.30743,1.18145,1.06839,0.66695,0.60276,0.74197,0.38877,0.4549,0.31223,0.37801,0.19379,1.66129,1.81551,1.63162,1.11242,0.000931067,0.000931067,0.000931067
19,87.7865,1.66753,2.31441,1.17992,1.07418,0.67161,0.69855,0.72398,0.36511,0.43454,0.32268,0.36358,0.197,1.67025,1.72488,1.46664,1.15105,0.000922942,0.000922942,0.000922942
20,92.286,1.66777,2.31396,1.15541,1.0707,0.66375,0.77861,0.77137,0.37815,0.49871,0.43519,0.44771,0.26442,1.58583,1.7676,1.28063,1.09251,0.000914405,0.000914405,0.000914405
21,96.7762,1.68879,2.298,1.14193,1.06115,0.69322,0.70377,0.76367,0.37012,0.3989,0.41485,0.40255,0.21615,1.70824,1.94494,1.21349,1.15081,0.000905463,0.000905463,0.000905463
